Global_active_power,Date,Time
2.618,2007-01-01,11:10:00
2.542,2007-01-01,11:20:00
2.602,2007-01-01,11:30:00
2.624,2007-01-01,11:40:00
2.586,2007-01-01,11:50:00
2.478,2007-01-01,12:00:00
2.576,2007-01-01,12:10:00
2.642,2007-01-01,12:20:00
2.7,2007-01-01,12:30:00
2.64,2007-01-01,12:40:00
2.706,2007-01-01,12:50:00
2.662,2007-01-01,13:00:00
2.542,2007-01-01,13:10:00
2.546,2007-01-01,13:20:00
2.614,2007-01-01,13:30:00
2.62,2007-01-01,13:40:00
0.204,2007-01-01,13:50:00
1.164,2007-01-01,14:00:00
0.614,2007-01-01,14:10:00
0.536,2007-01-01,14:20:00
1.44,2007-01-01,14:30:00
1.5,2007-01-01,14:40:00
2.76,2007-01-01,14:50:00
2.686,2007-01-01,15:00:00
2.668,2007-01-01,15:10:00
2.738,2007-01-01,15:20:00
1.38,2007-01-01,15:30:00
1.272,2007-01-01,15:40:00
1.266,2007-01-01,15:50:00
1.338,2007-01-01,16:00:00
1.364,2007-01-01,16:10:00
1.254,2007-01-01,16:20:00
1.262,2007-01-01,16:30:00
1.38,2007-01-01,16:40:00
1.552,2007-01-01,16:50:00
1.71,2007-01-01,17:00:00
1.566,2007-01-01,17:10:00
1.756,2007-01-01,17:20:00
2.188,2007-01-01,17:30:00
1.57,2007-01-01,17:40:00
1.46,2007-01-01,17:50:00
1.416,2007-01-01,18:00:00
1.512,2007-01-01,18:10:00
1.502,2007-01-01,18:20:00
1.466,2007-01-01,18:30:00
1.394,2007-01-01,18:40:00
1.404,2007-01-01,18:50:00
1.504,2007-01-01,19:00:00
1.474,2007-01-01,19:10:00
0.358,2007-01-01,19:20:00
0.36,2007-01-01,19:30:00
0.54,2007-01-01,19:40:00
0.51,2007-01-01,19:50:00
0.44,2007-01-01,20:00:00
0.352,2007-01-01,20:10:00
0.46,2007-01-01,20:20:00
0.536,2007-01-01,20:30:00
0.36,2007-01-01,20:40:00
0.368,2007-01-01,20:50:00
0.47,2007-01-01,21:00:00
0.532,2007-01-01,21:10:00
0.364,2007-01-01,21:20:00
0.362,2007-01-01,21:30:00
0.466,2007-01-01,21:40:00
0.53,2007-01-01,21:50:00
0.362,2007-01-01,22:00:00
0.442,2007-01-01,22:10:00
0.466,2007-01-01,22:20:00
0.614,2007-01-01,22:30:00
0.372,2007-01-01,22:40:00
0.378,2007-01-01,22:50:00
0.372,2007-01-01,23:00:00
0.548,2007-01-01,23:10:00
0.38,2007-01-01,23:20:00
0.376,2007-01-01,23:30:00
0.38,2007-01-01,23:40:00
0.56,2007-01-01,23:50:00
0.442,2007-01-02,00:00:00
0.37,2007-01-02,00:10:00
0.372,2007-01-02,00:20:00
0.554,2007-01-02,00:30:00
0.548,2007-01-02,00:40:00
0.45,2007-01-02,00:50:00
0.378,2007-01-02,01:00:00
0.564,2007-01-02,01:10:00
0.472,2007-01-02,01:20:00
0.374,2007-01-02,01:30:00
0.37,2007-01-02,01:40:00
0.452,2007-01-02,01:50:00
0.47,2007-01-02,02:00:00
0.382,2007-01-02,02:10:00
0.384,2007-01-02,02:20:00
0.412,2007-01-02,02:30:00
0.488,2007-01-02,02:40:00
0.388,2007-01-02,02:50:00
0.47,2007-01-02,03:00:00
0.468,2007-01-02,03:10:00
0.562,2007-01-02,03:20:00
0.478,2007-01-02,03:30:00
0.384,2007-01-02,03:40:00
0.384,2007-01-02,03:50:00
0.562,2007-01-02,04:00:00
0.478,2007-01-02,04:10:00
0.38,2007-01-02,04:20:00
1.472,2007-01-02,04:30:00
1.55,2007-01-02,04:40:00
1.568,2007-01-02,04:50:00
1.448,2007-01-02,05:00:00
1.458,2007-01-02,05:10:00
0.442,2007-01-02,05:20:00
0.554,2007-01-02,05:30:00
0.456,2007-01-02,05:40:00
0.458,2007-01-02,05:50:00
0.424,2007-01-02,06:00:00
0.488,2007-01-02,06:10:00
0.398,2007-01-02,06:20:00
0.384,2007-01-02,06:30:00
0.378,2007-01-02,06:40:00
0.56,2007-01-02,06:50:00
0.47,2007-01-02,07:00:00
0.37,2007-01-02,07:10:00
0.37,2007-01-02,07:20:00
0.562,2007-01-02,07:30:00
0.464,2007-01-02,07:40:00
0.36,2007-01-02,07:50:00
0.45,2007-01-02,08:00:00
0.522,2007-01-02,08:10:00
0.534,2007-01-02,08:20:00
0.366,2007-01-02,08:30:00
0.366,2007-01-02,08:40:00
0.446,2007-01-02,08:50:00
0.464,2007-01-02,09:00:00
0.402,2007-01-02,09:10:00
0.368,2007-01-02,09:20:00
0.438,2007-01-02,09:30:00
0.466,2007-01-02,09:40:00
0.458,2007-01-02,09:50:00
0.358,2007-01-02,10:00:00
0.436,2007-01-02,10:10:00
0.472,2007-01-02,10:20:00
0.538,2007-01-02,10:30:00
0.45,2007-01-02,10:40:00
0.514,2007-01-02,10:50:00
0.462,2007-01-02,11:00:00
0.46,2007-01-02,11:10:00
0.366,2007-01-02,11:20:00
0.448,2007-01-02,11:30:00
0.378,2007-01-02,11:40:00
0.468,2007-01-02,11:50:00
0.374,2007-01-02,12:00:00
0.45,2007-01-02,12:10:00
0.376,2007-01-02,12:20:00
0.466,2007-01-02,12:30:00
0.374,2007-01-02,12:40:00
0.45,2007-01-02,12:50:00
0.45,2007-01-02,13:00:00
0.55,2007-01-02,13:10:00
0.538,2007-01-02,13:20:00
0.46,2007-01-02,13:30:00
0.372,2007-01-02,13:40:00
0.476,2007-01-02,13:50:00
0.466,2007-01-02,14:00:00
0.47,2007-01-02,14:10:00
0.392,2007-01-02,14:20:00
0.502,2007-01-02,14:30:00
0.484,2007-01-02,14:40:00
0.472,2007-01-02,14:50:00
0.37,2007-01-02,15:00:00
1.476,2007-01-02,15:10:00
1.554,2007-01-02,15:20:00
1.598,2007-01-02,15:30:00
1.542,2007-01-02,15:40:00
1.81,2007-01-02,15:50:00
0.392,2007-01-02,16:00:00
1.476,2007-01-02,16:10:00
1.4,2007-01-02,16:20:00
1.39,2007-01-02,16:30:00
1.468,2007-01-02,16:40:00
1.72,2007-01-02,16:50:00
2.678,2007-01-02,17:00:00
2.62,2007-01-02,17:10:00
2.494,2007-01-02,17:20:00
2.496,2007-01-02,17:30:00
1.066,2007-01-02,17:40:00
2.112,2007-01-02,17:50:00
2.204,2007-01-02,18:00:00
3.0,2007-01-02,18:10:00
1.586,2007-01-02,18:20:00
1.996,2007-01-02,18:30:00
2.084,2007-01-02,18:40:00
1.59,2007-01-02,18:50:00
1.236,2007-01-02,19:00:00
1.252,2007-01-02,19:10:00
1.248,2007-01-02,19:20:00
1.43,2007-01-02,19:30:00
1.246,2007-01-02,19:40:00
2.014,2007-01-02,19:50:00
2.682,2007-01-02,20:00:00
3.688,2007-01-02,20:10:00
2.418,2007-01-02,20:20:00
2.458,2007-01-02,20:30:00
2.446,2007-01-02,20:40:00
2.514,2007-01-02,20:50:00
2.634,2007-01-02,21:00:00
1.614,2007-01-02,21:10:00
2.056,2007-01-02,21:20:00
1.32,2007-01-02,21:30:00
0.43,2007-01-02,21:40:00
0.426,2007-01-02,21:50:00
0.498,2007-01-02,22:00:00
0.516,2007-01-02,22:10:00
0.424,2007-01-02,22:20:00
0.426,2007-01-02,22:30:00
0.588,2007-01-02,22:40:00
0.61,2007-01-02,22:50:00
0.504,2007-01-02,23:00:00
0.428,2007-01-02,23:10:00
0.504,2007-01-02,23:20:00
0.532,2007-01-02,23:30:00
1.176,2007-01-02,23:40:00
1.298,2007-01-02,23:50:00
1.372,2007-01-03,00:00:00
0.536,2007-01-03,00:10:00
0.526,2007-01-03,00:20:00
1.23,2007-01-03,00:30:00
1.592,2007-01-03,00:40:00
1.51,2007-01-03,00:50:00
1.494,2007-01-03,01:00:00
1.494,2007-01-03,01:10:00
1.558,2007-01-03,01:20:00
0.932,2007-01-03,01:30:00
0.348,2007-01-03,01:40:00
0.25,2007-01-03,01:50:00
0.322,2007-01-03,02:00:00
0.29,2007-01-03,02:10:00
0.354,2007-01-03,02:20:00
0.252,2007-01-03,02:30:00
0.328,2007-01-03,02:40:00
0.254,2007-01-03,02:50:00
0.35,2007-01-03,03:00:00
0.25,2007-01-03,03:10:00
0.326,2007-01-03,03:20:00
0.252,2007-01-03,03:30:00
0.434,2007-01-03,03:40:00
0.33,2007-01-03,03:50:00
0.338,2007-01-03,04:00:00
0.254,2007-01-03,04:10:00
0.356,2007-01-03,04:20:00
0.25,2007-01-03,04:30:00
0.28,2007-01-03,04:40:00
0.246,2007-01-03,04:50:00
0.35,2007-01-03,05:00:00
0.302,2007-01-03,05:10:00
0.248,2007-01-03,05:20:00
1.396,2007-01-03,05:30:00
1.428,2007-01-03,05:40:00
1.468,2007-01-03,05:50:00
0.258,2007-01-03,06:00:00
0.414,2007-01-03,06:10:00
0.444,2007-01-03,06:20:00
0.346,2007-01-03,06:30:00
0.25,2007-01-03,06:40:00
0.324,2007-01-03,06:50:00
0.316,2007-01-03,07:00:00
0.336,2007-01-03,07:10:00
0.242,2007-01-03,07:20:00
0.244,2007-01-03,07:30:00
0.272,2007-01-03,07:40:00
0.334,2007-01-03,07:50:00
0.24,2007-01-03,08:00:00
0.24,2007-01-03,08:10:00
0.304,2007-01-03,08:20:00
0.334,2007-01-03,08:30:00
0.326,2007-01-03,08:40:00
0.33,2007-01-03,08:50:00
0.324,2007-01-03,09:00:00
0.348,2007-01-03,09:10:00
0.306,2007-01-03,09:20:00
0.764,2007-01-03,09:30:00
0.834,2007-01-03,09:40:00
0.846,2007-01-03,09:50:00
0.892,2007-01-03,10:00:00
0.776,2007-01-03,10:10:00
0.848,2007-01-03,10:20:00
0.882,2007-01-03,10:30:00
0.872,2007-01-03,10:40:00
0.748,2007-01-03,10:50:00
1.626,2007-01-03,11:00:00
0.626,2007-01-03,11:10:00
0.426,2007-01-03,11:20:00
0.292,2007-01-03,11:30:00
1.46,2007-01-03,11:40:00
1.462,2007-01-03,11:50:00
1.424,2007-01-03,12:00:00
1.362,2007-01-03,12:10:00
1.338,2007-01-03,12:20:00
1.324,2007-01-03,12:30:00
1.412,2007-01-03,12:40:00
1.346,2007-01-03,12:50:00
1.346,2007-01-03,13:00:00
1.338,2007-01-03,13:10:00
1.44,2007-01-03,13:20:00
1.446,2007-01-03,13:30:00
1.412,2007-01-03,13:40:00
1.428,2007-01-03,13:50:00
1.428,2007-01-03,14:00:00
1.48,2007-01-03,14:10:00
1.368,2007-01-03,14:20:00
1.372,2007-01-03,14:30:00
1.466,2007-01-03,14:40:00
0.38,2007-01-03,14:50:00
0.264,2007-01-03,15:00:00
0.26,2007-01-03,15:10:00
0.366,2007-01-03,15:20:00
0.354,2007-01-03,15:30:00
0.256,2007-01-03,15:40:00
0.262,2007-01-03,15:50:00
0.46,2007-01-03,16:00:00
0.478,2007-01-03,16:10:00
0.34,2007-01-03,16:20:00
0.266,2007-01-03,16:30:00
0.26,2007-01-03,16:40:00
0.408,2007-01-03,16:50:00
0.258,2007-01-03,17:00:00
0.242,2007-01-03,17:10:00
0.246,2007-01-03,17:20:00
0.382,2007-01-03,17:30:00
0.242,2007-01-03,17:40:00
0.244,2007-01-03,17:50:00
0.248,2007-01-03,18:00:00
0.38,2007-01-03,18:10:00
0.26,2007-01-03,18:20:00
0.346,2007-01-03,18:30:00
0.33,2007-01-03,18:40:00
0.454,2007-01-03,18:50:00
0.348,2007-01-03,19:00:00
0.242,2007-01-03,19:10:00
0.254,2007-01-03,19:20:00
0.382,2007-01-03,19:30:00
0.342,2007-01-03,19:40:00
0.246,2007-01-03,19:50:00
0.25,2007-01-03,20:00:00
0.378,2007-01-03,20:10:00
0.346,2007-01-03,20:20:00
0.254,2007-01-03,20:30:00
0.254,2007-01-03,20:40:00
0.396,2007-01-03,20:50:00
0.432,2007-01-03,21:00:00
1.628,2007-01-03,21:10:00
3.596,2007-01-03,21:20:00
0.792,2007-01-03,21:30:00
0.822,2007-01-03,21:40:00
0.71,2007-01-03,21:50:00
0.714,2007-01-03,22:00:00
0.788,2007-01-03,22:10:00
0.818,2007-01-03,22:20:00
0.986,2007-01-03,22:30:00
0.72,2007-01-03,22:40:00
0.8,2007-01-03,22:50:00
1.932,2007-01-03,23:00:00
1.886,2007-01-03,23:10:00
5.182,2007-01-03,23:20:00
1.83,2007-01-03,23:30:00
1.06,2007-01-03,23:40:00
0.82,2007-01-03,23:50:00
0.85,2007-01-04,00:00:00
1.462,2007-01-04,00:10:00
5.886,2007-01-04,00:20:00
5.16,2007-01-04,00:30:00
4.834,2007-01-04,00:40:00
2.95,2007-01-04,00:50:00
2.762,2007-01-04,01:00:00
2.394,2007-01-04,01:10:00
4.498,2007-01-04,01:20:00
2.33,2007-01-04,01:30:00
2.3,2007-01-04,01:40:00
2.46,2007-01-04,01:50:00
2.354,2007-01-04,02:00:00
2.46,2007-01-04,02:10:00
2.316,2007-01-04,02:20:00
2.398,2007-01-04,02:30:00
2.322,2007-01-04,02:40:00
2.388,2007-01-04,02:50:00
2.342,2007-01-04,03:00:00
2.402,2007-01-04,03:10:00
2.364,2007-01-04,03:20:00
2.374,2007-01-04,03:30:00
2.312,2007-01-04,03:40:00
2.394,2007-01-04,03:50:00
2.382,2007-01-04,04:00:00
2.38,2007-01-04,04:10:00
2.392,2007-01-04,04:20:00
2.45,2007-01-04,04:30:00
2.398,2007-01-04,04:40:00
2.332,2007-01-04,04:50:00
2.264,2007-01-04,05:00:00
2.346,2007-01-04,05:10:00
2.39,2007-01-04,05:20:00
2.334,2007-01-04,05:30:00
2.366,2007-01-04,05:40:00
2.322,2007-01-04,05:50:00
2.366,2007-01-04,06:00:00
2.3,2007-01-04,06:10:00
2.374,2007-01-04,06:20:00
2.264,2007-01-04,06:30:00
2.362,2007-01-04,06:40:00
2.396,2007-01-04,06:50:00
2.462,2007-01-04,07:00:00
2.298,2007-01-04,07:10:00
2.352,2007-01-04,07:20:00
2.27,2007-01-04,07:30:00
2.258,2007-01-04,07:40:00
2.324,2007-01-04,07:50:00
2.336,2007-01-04,08:00:00
2.356,2007-01-04,08:10:00
2.24,2007-01-04,08:20:00
2.328,2007-01-04,08:30:00
2.378,2007-01-04,08:40:00
2.678,2007-01-04,08:50:00
2.582,2007-01-04,09:00:00
3.724,2007-01-04,09:10:00
3.284,2007-01-04,09:20:00
2.064,2007-01-04,09:30:00
2.082,2007-01-04,09:40:00
2.344,2007-01-04,09:50:00
2.096,2007-01-04,10:00:00
1.876,2007-01-04,10:10:00
1.814,2007-01-04,10:20:00
1.896,2007-01-04,10:30:00
1.918,2007-01-04,10:40:00
1.958,2007-01-04,10:50:00
1.834,2007-01-04,11:00:00
1.888,2007-01-04,11:10:00
1.818,2007-01-04,11:20:00
1.988,2007-01-04,11:30:00
2.092,2007-01-04,11:40:00
1.934,2007-01-04,11:50:00
2.026,2007-01-04,12:00:00
5.742,2007-01-04,12:10:00
5.728,2007-01-04,12:20:00
3.896,2007-01-04,12:30:00
3.864,2007-01-04,12:40:00
3.236,2007-01-04,12:50:00
2.818,2007-01-04,13:00:00
1.65,2007-01-04,13:10:00
1.67,2007-01-04,13:20:00
5.93,2007-01-04,13:30:00
3.852,2007-01-04,13:40:00
3.744,2007-01-04,13:50:00
3.79,2007-01-04,14:00:00
1.89,2007-01-04,14:10:00
1.538,2007-01-04,14:20:00
1.56,2007-01-04,14:30:00
1.456,2007-01-04,14:40:00
1.756,2007-01-04,14:50:00
1.536,2007-01-04,15:00:00
0.412,2007-01-04,15:10:00
0.512,2007-01-04,15:20:00
0.322,2007-01-04,15:30:00
1.74,2007-01-04,15:40:00
1.488,2007-01-04,15:50:00
1.428,2007-01-04,16:00:00
1.53,2007-01-04,16:10:00
4.142,2007-01-04,16:20:00
3.834,2007-01-04,16:30:00
4.054,2007-01-04,16:40:00
2.924,2007-01-04,16:50:00
4.738,2007-01-04,17:00:00
2.466,2007-01-04,17:10:00
2.072,2007-01-04,17:20:00
2.142,2007-01-04,17:30:00
2.294,2007-01-04,17:40:00
2.77,2007-01-04,17:50:00
2.614,2007-01-04,18:00:00
2.406,2007-01-04,18:10:00
3.088,2007-01-04,18:20:00
2.7,2007-01-04,18:30:00
2.63,2007-01-04,18:40:00
2.436,2007-01-04,18:50:00
2.402,2007-01-04,19:00:00
2.556,2007-01-04,19:10:00
2.504,2007-01-04,19:20:00
2.432,2007-01-04,19:30:00
5.318,2007-01-04,19:40:00
3.14,2007-01-04,19:50:00
2.01,2007-01-04,20:00:00
1.81,2007-01-04,20:10:00
1.784,2007-01-04,20:20:00
1.308,2007-01-04,20:30:00
1.14,2007-01-04,20:40:00
1.302,2007-01-04,20:50:00
1.584,2007-01-04,21:00:00
0.302,2007-01-04,21:10:00
0.41,2007-01-04,21:20:00
0.34,2007-01-04,21:30:00
0.39,2007-01-04,21:40:00
0.326,2007-01-04,21:50:00
0.402,2007-01-04,22:00:00
0.39,2007-01-04,22:10:00
0.374,2007-01-04,22:20:00
0.328,2007-01-04,22:30:00
0.526,2007-01-04,22:40:00
0.504,2007-01-04,22:50:00
0.46,2007-01-04,23:00:00
0.314,2007-01-04,23:10:00
0.322,2007-01-04,23:20:00
0.426,2007-01-04,23:30:00
0.406,2007-01-04,23:40:00
1.078,2007-01-04,23:50:00
1.172,2007-01-05,00:00:00
1.074,2007-01-05,00:10:00
1.104,2007-01-05,00:20:00
2.144,2007-01-05,00:30:00
2.242,2007-01-05,00:40:00
4.226,2007-01-05,00:50:00
2.418,2007-01-05,01:00:00
2.386,2007-01-05,01:10:00
2.694,2007-01-05,01:20:00
2.404,2007-01-05,01:30:00
2.286,2007-01-05,01:40:00
2.28,2007-01-05,01:50:00
2.374,2007-01-05,02:00:00
2.406,2007-01-05,02:10:00
2.324,2007-01-05,02:20:00
2.516,2007-01-05,02:30:00
2.432,2007-01-05,02:40:00
2.418,2007-01-05,02:50:00
2.336,2007-01-05,03:00:00
2.444,2007-01-05,03:10:00
2.508,2007-01-05,03:20:00
2.436,2007-01-05,03:30:00
2.33,2007-01-05,03:40:00
2.428,2007-01-05,03:50:00
2.436,2007-01-05,04:00:00
2.326,2007-01-05,04:10:00
2.346,2007-01-05,04:20:00
2.482,2007-01-05,04:30:00
2.442,2007-01-05,04:40:00
2.37,2007-01-05,04:50:00
2.374,2007-01-05,05:00:00
2.454,2007-01-05,05:10:00
2.432,2007-01-05,05:20:00
2.392,2007-01-05,05:30:00
2.438,2007-01-05,05:40:00
2.49,2007-01-05,05:50:00
2.452,2007-01-05,06:00:00
2.33,2007-01-05,06:10:00
2.418,2007-01-05,06:20:00
2.438,2007-01-05,06:30:00
2.414,2007-01-05,06:40:00
2.298,2007-01-05,06:50:00
2.374,2007-01-05,07:00:00
2.41,2007-01-05,07:10:00
2.368,2007-01-05,07:20:00
2.27,2007-01-05,07:30:00
2.314,2007-01-05,07:40:00
2.386,2007-01-05,07:50:00
2.42,2007-01-05,08:00:00
2.292,2007-01-05,08:10:00
2.298,2007-01-05,08:20:00
2.358,2007-01-05,08:30:00
2.352,2007-01-05,08:40:00
2.244,2007-01-05,08:50:00
2.29,2007-01-05,09:00:00
2.366,2007-01-05,09:10:00
2.322,2007-01-05,09:20:00
2.24,2007-01-05,09:30:00
2.306,2007-01-05,09:40:00
2.34,2007-01-05,09:50:00
3.352,2007-01-05,10:00:00
3.258,2007-01-05,10:10:00
3.376,2007-01-05,10:20:00
3.612,2007-01-05,10:30:00
2.292,2007-01-05,10:40:00
2.292,2007-01-05,10:50:00
1.19,2007-01-05,11:00:00
0.388,2007-01-05,11:10:00
0.222,2007-01-05,11:20:00
0.282,2007-01-05,11:30:00
0.362,2007-01-05,11:40:00
0.382,2007-01-05,11:50:00
0.282,2007-01-05,12:00:00
0.286,2007-01-05,12:10:00
0.366,2007-01-05,12:20:00
0.384,2007-01-05,12:30:00
0.374,2007-01-05,12:40:00
0.308,2007-01-05,12:50:00
0.35,2007-01-05,13:00:00
0.348,2007-01-05,13:10:00
0.254,2007-01-05,13:20:00
0.26,2007-01-05,13:30:00
0.314,2007-01-05,13:40:00
0.358,2007-01-05,13:50:00
0.262,2007-01-05,14:00:00
0.27,2007-01-05,14:10:00
0.344,2007-01-05,14:20:00
0.404,2007-01-05,14:30:00
0.386,2007-01-05,14:40:00
0.386,2007-01-05,14:50:00
0.542,2007-01-05,15:00:00
0.536,2007-01-05,15:10:00
0.414,2007-01-05,15:20:00
0.384,2007-01-05,15:30:00
0.464,2007-01-05,15:40:00
0.482,2007-01-05,15:50:00
0.38,2007-01-05,16:00:00
0.388,2007-01-05,16:10:00
0.494,2007-01-05,16:20:00
0.522,2007-01-05,16:30:00
1.586,2007-01-05,16:40:00
1.612,2007-01-05,16:50:00
1.536,2007-01-05,17:00:00
1.856,2007-01-05,17:10:00
1.764,2007-01-05,17:20:00
2.314,2007-01-05,17:30:00
2.392,2007-01-05,17:40:00
2.312,2007-01-05,17:50:00
2.55,2007-01-05,18:00:00
2.52,2007-01-05,18:10:00
2.59,2007-01-05,18:20:00
2.328,2007-01-05,18:30:00
2.214,2007-01-05,18:40:00
2.222,2007-01-05,18:50:00
2.6,2007-01-05,19:00:00
2.552,2007-01-05,19:10:00
1.436,2007-01-05,19:20:00
1.336,2007-01-05,19:30:00
1.36,2007-01-05,19:40:00
1.404,2007-01-05,19:50:00
1.33,2007-01-05,20:00:00
1.058,2007-01-05,20:10:00
3.204,2007-01-05,20:20:00
4.204,2007-01-05,20:30:00
5.286,2007-01-05,20:40:00
3.808,2007-01-05,20:50:00
1.914,2007-01-05,21:00:00
1.942,2007-01-05,21:10:00
2.042,2007-01-05,21:20:00
2.048,2007-01-05,21:30:00
2.118,2007-01-05,21:40:00
5.518,2007-01-05,21:50:00
4.278,2007-01-05,22:00:00
2.076,2007-01-05,22:10:00
2.128,2007-01-05,22:20:00
3.174,2007-01-05,22:30:00
1.856,2007-01-05,22:40:00
1.806,2007-01-05,22:50:00
1.904,2007-01-05,23:00:00
1.724,2007-01-05,23:10:00
1.706,2007-01-05,23:20:00
1.642,2007-01-05,23:30:00
1.754,2007-01-05,23:40:00
1.732,2007-01-05,23:50:00
1.726,2007-01-06,00:00:00
1.644,2007-01-06,00:10:00
1.536,2007-01-06,00:20:00
1.446,2007-01-06,00:30:00
1.442,2007-01-06,00:40:00
1.296,2007-01-06,00:50:00
1.42,2007-01-06,01:00:00
0.336,2007-01-06,01:10:00
0.32,2007-01-06,01:20:00
0.242,2007-01-06,01:30:00
0.348,2007-01-06,01:40:00
0.338,2007-01-06,01:50:00
0.318,2007-01-06,02:00:00
0.25,2007-01-06,02:10:00
0.358,2007-01-06,02:20:00
0.35,2007-01-06,02:30:00
0.424,2007-01-06,02:40:00
0.334,2007-01-06,02:50:00
0.432,2007-01-06,03:00:00
0.346,2007-01-06,03:10:00
0.25,2007-01-06,03:20:00
0.254,2007-01-06,03:30:00
0.356,2007-01-06,03:40:00
0.338,2007-01-06,03:50:00
0.25,2007-01-06,04:00:00
0.304,2007-01-06,04:10:00
0.354,2007-01-06,04:20:00
0.342,2007-01-06,04:30:00
0.25,2007-01-06,04:40:00
0.32,2007-01-06,04:50:00
0.43,2007-01-06,05:00:00
0.418,2007-01-06,05:10:00
0.32,2007-01-06,05:20:00
0.32,2007-01-06,05:30:00
0.35,2007-01-06,05:40:00
0.34,2007-01-06,05:50:00
0.254,2007-01-06,06:00:00
0.326,2007-01-06,06:10:00
0.356,2007-01-06,06:20:00
0.344,2007-01-06,06:30:00
0.248,2007-01-06,06:40:00
0.322,2007-01-06,06:50:00
0.352,2007-01-06,07:00:00
0.338,2007-01-06,07:10:00
0.322,2007-01-06,07:20:00
0.384,2007-01-06,07:30:00
0.426,2007-01-06,07:40:00
0.33,2007-01-06,07:50:00
0.238,2007-01-06,08:00:00
0.238,2007-01-06,08:10:00
0.354,2007-01-06,08:20:00
0.33,2007-01-06,08:30:00
0.244,2007-01-06,08:40:00
0.246,2007-01-06,08:50:00
0.36,2007-01-06,09:00:00
0.344,2007-01-06,09:10:00
0.24,2007-01-06,09:20:00
0.578,2007-01-06,09:30:00
0.716,2007-01-06,09:40:00
0.738,2007-01-06,09:50:00
1.362,2007-01-06,10:00:00
1.332,2007-01-06,10:10:00
1.438,2007-01-06,10:20:00
1.368,2007-01-06,10:30:00
1.692,2007-01-06,10:40:00
1.708,2007-01-06,10:50:00
1.846,2007-01-06,11:00:00
2.792,2007-01-06,11:10:00
2.684,2007-01-06,11:20:00
2.48,2007-01-06,11:30:00
2.662,2007-01-06,11:40:00
2.508,2007-01-06,11:50:00
2.414,2007-01-06,12:00:00
4.712,2007-01-06,12:10:00
5.458,2007-01-06,12:20:00
2.75,2007-01-06,12:30:00
3.386,2007-01-06,12:40:00
2.34,2007-01-06,12:50:00
2.368,2007-01-06,13:00:00
2.306,2007-01-06,13:10:00
2.222,2007-01-06,13:20:00
1.664,2007-01-06,13:30:00
1.67,2007-01-06,13:40:00
1.636,2007-01-06,13:50:00
1.478,2007-01-06,14:00:00
1.582,2007-01-06,14:10:00
1.714,2007-01-06,14:20:00
1.762,2007-01-06,14:30:00
1.646,2007-01-06,14:40:00
1.914,2007-01-06,14:50:00
1.962,2007-01-06,15:00:00
1.978,2007-01-06,15:10:00
0.828,2007-01-06,15:20:00
0.892,2007-01-06,15:30:00
0.922,2007-01-06,15:40:00
0.918,2007-01-06,15:50:00
0.838,2007-01-06,16:00:00
0.902,2007-01-06,16:10:00
0.918,2007-01-06,16:20:00
0.896,2007-01-06,16:30:00
0.786,2007-01-06,16:40:00
0.94,2007-01-06,16:50:00
